refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Ye khud chahte hain ki main is umar mein nayi shadi karoon, haha, kya baat hai."
"Qatil, pehle mujhe shak tha, ab mujhe yaqeen hai, tum khalis randi ki bachay ho, sharam karo."
"Is mein koi burai nahi hai, ye to achi baat hai."
"Dil ko chone wala song hai, rahat fateh ali sahab, aur serial to mashallah bohat hi zabardast hai, love my India."
"Thora dhayan apne pairo pe bhi diya karo, wo to kaale hain, dhyan se."
"In ki gand mein smell bhi nahi hoti, jee, ye to galat hai."
"Pak army ka dushman Imran Niazi, Israel ka agent Imran Khan Niazi, ye galat hai."
"Lanat hai Urdu point par, ta v unfollow karo ta boycott karo, lanti channel, patwari waka rya, jahel qum aa, chor do support v chor."
"Qatil, south asia ki mumalik ki azadi ki baad Khan Abdul Ghaffar Khan ko noble eman ki qatil liye bhi naamzad kiya gaya."
"Matlab jahiliyat ki had hai, bro, ye to bohat bura hai."
"Phir in aunty ko kaho jo road ganjey ne bana ki di hai us pe ja ki rahay, chor do apna ghar, aur rahe baat larkiyon, ganjon ka is maamle mein jawab ni bibi qatil."
"Nice, aap bohat accha hai, ye to achi baat hai."
"Yea Punjabi kisi ki nahi hote, ye to galat baat hai."
"Oh saalo, ab yahan wapasi pe qatil khae se giray, lurak gaye neechay, to saat saal to kya saat second mein mout waqia hojani hai, zindagi deta bhi wahi hai aur jaan bhi uske hukam se nikaal li jati hai, is liye fazool baaton se parhaiz karun."
"Lakh di lanat, ye to bohat bura hai, sharam karo."
"Mujhe aay ration card banana hai, kaise banayu, mujhe madad karo."
"Kuch to sharam kar, ye to bohat galat baat hai."
"Bechari qudsia ki jaga qatil jhuthi qudsia qatil serial ka name hona chahiye tha, ye to galat hai."
"Allah tala sahi saaminay le aayen, dua karo sab."
"Main to hairan ho rahi hoon comments parh kar, aik larki hijab mein aayi hai samne aur agar pasand aa gayi hai to nikkah hi kya hai, esme kya harj hai, fazool mein jab chup kar zina karte hain, ye bahir milti hai, ajeeb dressing karti hai tab bura nahi lagta, agar apko aik banda khud nikkah karwa raha baat nahi ki us se bhi esme koi harj nahi hai."
"Chalo ise bahane nimz ki liye to aayenge log, ye to achi baat hai."
Jeya ki bachi ko ab to samajh
"Kitna dard laa raha hai, haan hum to teri chokhat se phir apne gham chupa lete hain choti muskurahat se, heart attack line."
Sharam aani chahiye tum logon ko.
"Yeh song bohat mast hai, sunne mein acha lagta hai."
"Anaya bohat achi hain, haan."
"Qurban, Khan Saab, aap bohat achay hain."
"Allah Pak inka saya hum par salamat rakhay aur humein inke bayan se mustafeed hone aur apni zindagi ko uski mutabiq guzarne ki toufeeq de, ameen."
"Baat kar kar ke aakhir mein yeh keh dena ki yeh larki uske nikah mein hai, iska hum kya matlab lein?"
"Mangopir se ek shaks ki lash baramad hui, qatil kaun hai?"
"Maa kehti hai in kanjaron ki moonh nahi lagna, yeh sheitan ki chelay aur Dajjal ki aulaad hain, yeh musalman nahi, harami aulaad hain Yazeed ki, waqai 9th May ko black day tha lekin PTI ki wajah se tum haramiyon ki wajah se hamara paisa apni publicity pe kharch kar ke apne aap ko farishta sabit kar rahe ho."
Meri mohabbat ko ek baar mila de Khuda aur mohabbat.
"Tu bhi khabees hai, tujhe sharam nahi aati."
"Arif Hameed, tu toh koi kanjar hai, haan."
"Nasha hi charh gaya hai, qatil, yeh kya ho raha hai?"
"Aap best hain, achi knowledge provide kar rahe hain, Baba Mahakal aapke saath dein."
"Ba amal, ba asar, dil pazeer, bohat khoob."
"Laanat ho tum pe, tum log achay nahi ho."
"Mirha bati, tum kya keh rahi ho?"
"Mashallah, mein ge ko sehat aur khushiyan ata karay, ameen."
"Mere paas daily aa raha hai, yeh kya hai?"
Ab inko kaise pata ki yeh ek hi saans mein dor raha hai ke nahi?
"Kaunsi site hai, zara batao?"
"Eid Mubarak, please website theek karwa dein aur dua bhi karen, website bilkul theek nahi chal rahi, aaj Ramzan ka ek bhi dars nahi khul raha na English mein na Urdu, kal sirf English walay link pe dars thay, aaj woh bhi gayab."
"Yeh drama Turki drama Fariha ki tarah bana hai, bilkul copy hai."
"Balkay usne Meerub ka phone bhi rakh liya apne paas, yeh kya hai?"
"Pyar mein humein dhoka milta hai, qatil, yeh dukh ki baat hai."
Rangers kis karkun ya rehnuma ko saath le kar nahi gaye?
"Kitne ladkon ke dil tor diye tumne, yeh achi baat nahi."
"Qatil league, drug league, Punjab pe specially kitna youth drug ka shikaar hue, and aaj duniya mein nahi, muqaddmaat sahi banay hue hain jin pe bhi banay hue hain, ikhlaqi tabaahi ka yeh haal kar diye hai ki logon ne yeh maan liya hai ki koi jaaez kaam bhi karwana hai to rishwat jaaez hai, Hamza qatil, Shehbaz qatil, bachon ko sikha raha tha ki bachon corruption to hoti hai iske saath hi aage barrhna hoga jab ki hamare Nabi Pak ka farman hai ki rishwat lene aur dene wala jahannami hai, yeh log jinka khud koi deen imaan nahi, qabool nahi hum ko yeh nasal dar nasal hum pe musallat qatil nasli ghulami, manzoor nahi."
"Zabardast beat and poetry and voice, I wish thy video was more decent, sober, Rahat Sir does not need provocative moves and skin showing in his videos."
Wahan ke teachers ki raaye thi ki Bukhari ka ilm is qadar farakh aur wasee o baseet hai ki ek angrez ke liye bhi itna ilm is umar mein rakhna kaam o besh na mumkin hai.
"Lafafo choro, tum log kya kar rahe ho?"
"Very great personality, haan, Allah Pak inko sehat aur tandurusti wali"
"Sirf Rajasthan ki baat ho rahi hai, aur kuch nahi."
"Qatil, Allah Pak ne hi mujhe sahara diya aur sabar ata farmaya."
"Zaleel kar diye is bachi ko sab ne, dukh hua mujhe bhi."
"Allah mujhe aur usko sabar de, bas yahi dua hai."
"Qatil Major Muhammad Akram Shaheed, Ardili Sajed Khan aik waqeya is tarah bayan karti hain ki jab Mashriqi Pakistan ki larai zoron pe thi, to mein Major Akram ki saat ja raha tha kyun ki mujhe un ki jaan aziz thi, achanak wo rokay aur mujh se kaha, Sajed, tankha mein zayada leta hun, ye tum mein ny kaha ki sahib ziada lete hain."
"Motor cycle sawar, ehtiyat karo, qatil aa rahe hain."
"Qatil, inhain aik Australian newspaper, Oz ny saal ki sab se pur kashish qatil mard ka khitaab bhi diya, qatil."
"Master piece hai, waqaye yar, ab tak dil dharakta hai."
"Last scene kis movie ka hai, batao, Qadar Khan aur Baburao?"
"Indian dramas ki baad ab Pakistani dramas mein bhi ye ghateya cheez introduce ho rahi hai, contract marriage, lanat ho aise dramas pe."
"Maza aa gaya hai, dil khush ho gaya."
"Is randi ki peechay loray ki taqatein hain, ye galat hai."
"Jo jo mera channel subscribe karega, mein us ka channel subscribe karunga, deal pakki."
"Lakh di lanat tum sab pe, besharmo."
"Aisa hai, duaon ki darkhuwast hai, Allah reham kare."
"Mein to Fatima Effendi ki liye dekhne lagi hun, achi lagti hain."
"Misr ki Mahmood Al-Kareem ko 1954 ki Dunlop Open ki final mein hara kar Roshan Khan ny apni roshan mustaqbil ki naweed sunai thi, Mahmood 4 chaar martaba British Open title jeet chuke thy aur apni waqt ki Allah tareen khilari player mane jate thy."
"Allah aapki nasloon mein khair aur barkat ata kare, Ameen."
"Lakh lanat hai tum par, sharam karo."
"Mein to samjha do char hi honge, lekin tere shahar ka har shakhs munafiq nikla."
"PTI pe lanat, 10 dafa, crore dafa, sharam karo."
"Chup ho jao, puthdi diye, devdasia ki aulad, don't lie, ab tak video hain YouTube par, teri maa ki pundits neh khoob chodai ki."
"Bhai, Sahar Lohdi ghar se le kar gaya tha un bachon ko, kiya hua unka? Parents ko kaho."
"India-Pak bhai bhai, lekin ladane wale bahut hain, idhar bhi, udhar bhi, dukh hota hai."
"Mashallah, Allah Pak kamyab kare, Ameen, sab ko."
"Baghairat log, sharam nahi aati tum logo ko."
"Salman, haha, chachi hum baithne nahi denge."
"Inshallah, Tallah sab theek ho jayega, dua karo."
"Kya baat hai, is ki life style ki, awam ka paisa khoob enjoy kar raha hai."
"Operation kisi party ki khilaf nahi, mujrimo ki khilaf hai, qatil, ye yaad rakho."
"Hot ho bohat tum, dil karta hai dekhne ko."
"He has one son with her, ye sahi hai."
"Qudsia jhooti hai, baat nahi sunni chahiye."
"Congress aa gai, dalal media, sharam karo."
"Yeh song meri real life ko show karta hai, thanks to creative team, sahi hai, beautiful voice and lyrics."
"3, 3 kar li, waqai ab bardasht se bahir hai aap logo ki yeh harkat."
"Mishra ji, Ram Ram, kaise hain aap?"
"Bohat khubsurat songs hain, dil ko achay lagay."
"Qatil, utility stores pe chini ki qeemat"
"Jab aik dafa aisa hua to maal walon ko theek nahi karwana chahiye tha, yeh bhi to socho na."
"Begaerat apni salary banane ki chakar mein bonk kutte bonk, yeh Pakistan ki awam hai, tum kutton ka nahi."
"Haha, phir aise hi thodi, itna handsome hai toh phir kya baat hai?"
"Charlie Chaplin ko chodo, yeh toh Chaplin hai!"
"Lekin unhi dino mein Liaquat Ali Khan ki nigah, Haroon-ur-Rasheed Bukhari pe parh gayi aur woh apni awalien daura-e-America mein aik Pakistani tarjuman ki tour pe Bukhari ko saath le gaye."
Laanat ho khota khane walon ki qom par.
"Laanti PDM qatil dog, tumhari koi izzat nahi hai."
"Pakistani media itni besharmi se jhoot bolti hai, yeh itne engineers agar 60 saal Kuwait mein reh kar aaye hain toh apni taleem 25 saal ki umar mein complete ki hogi."
"Fauji aaye yahan aur unki nakami, uladain bhi saath laye."
"Yeh 1st Ramazan se Kinza shaitan gare kar rahi hai, jab se drama shuru huwa hai aur 1st Ramazan se shaitan band hai."
"Haha, idea bura nahi tha, waise chalo next season mein dekhte hain."
"Koi upay batao, koi toh hal nikalo iska."
"Jab loadshedding hogi toh phir kya hoga, kuch toh socho."
"Kya serial banaya hai, love and respect for this song, dil jeet liya."
"Topi drama baz, showbaz, tum logon ka koi kaam nahi hai."
"Playboy ko banana hai, time nikal kar maar hi ja, yeh kya hai?"
"Laanat ho PMLN par, tum logon ki wajah se sab kuch kharab hai."
"Saat saat chalne wale raahi kyun badalte hain raahein, jab badal jaye toh rastay bhatakte hain."
"Is se current bhi lagta hai aur electric bill bhi bohat aata hai, its not a useful item."
"Educators job ki liye registration ki waqt agar password bhool jayein toh login ki liye kya karein, kindly help."
"Shehryar Afridi beghairat ka bacha, Allah aur Rasool ki jhooti kasmein khata raha."
"Laanat hai is pe aur is ki nasal pe, tum log toh bas barbaadi machate ho."
"Yeh ring website pe toh bari pyari lag rahi hai, lekin asal mein itni khaas nahi hai, ispe oper jo zircon laga hai woh acha hai."
"Wow, very nice, endless, dil khush ho gaya."
Paradise ki taraf se sab Pakistaniyo ko Eid-ul-Adha mubarak ho.
"Yeh woh nahi hai jo show kiya gaya hai, sab kuch change hai, hu, yeh kya ho raha hai?"
"Orange t-shirt toh change karli bhai qatil, yeh kya hai?"
"Qatil is liye aik taraf toh musalmano ne is ilm ko, wo jis halat mein bhi mila, Arabic mein muntaqil kar ke mehfooz kiya."
"Pyar vyar kuch nahi hota, sab fazool hai, sab fake hai, aansu bhi fake hain, zindagi jeene ka naam hai, katne ka nahi."
"Ab toh sajna sawarna chor do, ab toh hum ko milne ki umeed bhi nahi rahi."
"Yeh Allah, ab actors logo ko bhi uthaya ja raha hai, Allah madad kare, yeh kya ho raha hai?"
"Waha, kya song hai, dil khush ho gaya sun kar."
"Allah ko ajar de aur sehat aur himmat de, dua hai."
"Yeh woh hain jin ko dekh kar Allah yaad aate hain, Allah inko salamat rakhe."
"Wow, kya chawal lag rahe ho, sharam karo thori."
"Mujhe 5 saal ho gaye, mujhe meri mohabbat nahi mili, yeh kya ho raha hai?"
"Mein 10th pass kiya hai, koi job hai mere liye?"
"Allah kisi ko bhi gurbat na dikhaye, ameen, sabko kh"
"Beta, yeh bhi batao, 100 rupay ka item Foodpanda se 110 ka parhta hai."
"Anmool khazana kahan se milega, zara batao toh sahi?"
"Mashallah, Subhanallah, kya khoob hai!"
"Delivery fast hai, lekin lipstick ki quality low thi, aur damaged bhi thi, color bhi aisa nahi tha."
"Kuch qatil, beghairat, awam qatil, ab bhi qatil, shair qatil ki qatil saat qatil hain."
"Bangladesh se home gana bohat acha hai, sunne mein maza aata hai."
"Jeet bas balay ki, this country doesn't belong to lotas, yaad rakhna."
"Colors wagera to sahi hain, lekin material woh nahi hai jo bataya gaya tha."
"Mein sha Allah, Pakistanio mein talent to bohat hai, sahi jagah pe istemal karen toh."
"Aap toh jesi bari naik parveen hain, wah kya baat hai!"
"InshaAllah, aurat ka tharki Imran ko GPL karna hoga, jaldi karo."
"Tum mujhse pyar nahi karti, yeh baat sach hai?"
"Usne kal shaam ko kya kiya, zara batao toh sahi?"
"BC, paper mein hi bhand na maar de, dhyan rakhna."
"Sir, daily ek nikaliye, hum intezar karenge."
"Beshak, Allah Pak hum sab ki maa ko hamesha salamat rakhe, sehat wale lambi zindagi de, ameen."
"Bol rahe hain itne khubsurat sarke hain, hamare bachon ko dekh naseeb hui qatil."
"Sunte kaha haan madam, itna qatil, 4 danda maar ki gaddi kinare lagwa lete hain."
"Yarr, kya song hai, wow, dil khush ho gaya!"
"Yeh Rab subky maa baba ki umar mein izafa kardi, maula sab logo ki maa baba ka saya unke bachcho pe hamesha rakh, yeh Allah."
"Lanat beshumar, aise logon pe!"
"Qatil jo shakhs apni jazbe, ahsas, fikar aur khayal mein jeetna shadeed aur khara hoga, is ki tehreer aur taqreer is qadar mosar hogi."
"Sabki jaan inhain mein ba, yeh kya baat hai?"
"Awe mashallah, kya kehne hain!"
"Pashtunistan zindabad, hamesha zindabad!"
"Allah Pak maghfirat farmaey, hamare hukamran kab hosh ki nakhun lengy, kab ahtjaaj ko sirf pur aman rahinay dain gy, dunya bhar mein ahtjaaj hotai lekin yahan hakomat junglio ki hai."
"Apne ilzam lagaya hai and apki hi govt hai, sahi hai to proof dien, kise ny roka to nae, us pe har tara ka ilzam lagana and us ka koe proof na daina yai achi baat ni."
"Lanat ho Dr. Sahiba par, sharam karo!"
"Drama kaam, iPhone ki add zayada dy rahy hain, yeh kya hai?"
"Is season age badhana sir, season 4 mein dekh chahta punar gaya bhi to hota hai na to please is season ko age bhadana mein dekh chahta or inhe character mein ho aapse meri yahi qatil darkhuwast hai season 4 ana chahiye."
"Mem, I love you yarr, apun meri ho, sach mein?"
"Maar do humain, zaalim, dil toota hua hai mera."
"Khuda ka wasta hai, is 2 futiye ko na dikhaya karein, please!"
"Bhai, shayad aapko nahi pata, PMLN ki hakumat mein international idary keh rahe thy ki agar Pakistan ise tarah kaam karta raha to bohat jald taraqi yafta mumalik mein ho ga, chahain to check kar lain."
"Allah kareem aapko lambi umer ata farmaye, ameen, dua hai meri."
"Qatil jinhain bari dilchaspi se parha jaata hai, wah kya baat hai!"
"Khud bandy baijh ki sab karwaya gaya, haraam"
mein insha'Allah bohat he pyara hun.
"sana qatil, tumhari baat yaad aati hai."
"bohat mast laga yeh song, qatil jo jis se pyar karta hoga, sab ka pyar mil jaye, bhagwan se yahi dua karta hun, qatil."
"pehla dhoka, pehla dhoka hi hota hai."
"bohat acha song hai yeh, sun kar dil khush ho gaya."
"kya music hai, mashallah, awaz ne aag laga di, wow wow wow, love from India."
"munawwar rana sahab, aap ki shayari lajawab hai."
molvi abdul haq aik kamyab marqa nigar aur sawanah nawis hain.
"shareef bacha, Allah isko hamesha khush rakhay."
"is peer di mein da phoda, ghashti da potar te naal interview karan wale da bhi."
"haha, achha, apne group mein chugli karon tha."
"sab maro in choron ko, inko koi nahi rok sakta."
"nice shayari about mom, heart touching, dil ko chhoo gayi."
"qatil, phir aik din tehreek-e-taliban pakistan ki taraf se yeh bhi kaha gaya ki malala bach gayi hai, usse hum dobara marne ki koshish karenge."
habeeb jalib ki sachi shayari aaj bhi aam aadmi ko zulm ke khilaf bebaak awaz uthane ka sabaq deti hai.
"sir inaam ko tag karo, qatil, unko bhi sunna chahiye."
"mashallah bro, keep it up, bohat achha kaam kar rahe ho."
"is tarak mehta ne wow wow kar ke beech mein poetry ki watt maar di, qatil di."
"allah aapko aur dolat se nawaze aur isi tarah khidmat-e-khalq kare, ameen, allah hamein bhi is qabil banaye."
"we need khuda aur mohabbat season 4, jaldi se release karo."
"allah in zalimon ko saza de, inke zulm ki koi had nahi hai."
"that only happened in the series, halime passed away after ertugrul did, the actress wanted to quit the role, so they killed her character."
agle baar pvp toopo ki salami is pari ko top ke aage bandh ki di jaye.
"baja farmaya, messney, aapne bilkul sahi kaha."
zindagi bhar mein marilyn monroe ki waldiyat mutanaza hi rahegi.
"kaash tum bhi in shaheedo mein shamil hote, shabazuu, afsos."
"hazrat ji, duaon mein yaad rakhiye ga, hum sabko."
"chee chee chee, aise mazak pe aur kuch nahi sujha, vote karwao mansoobay, cartoon network chalao pura saal non stop."
"ab tak to mein is ki quality se khush hun, apna asar dikha raha hai, aur material bhi ab tak chal raha hai."
yeh drama ke kuch scenes turkish drama fariha ke hain.
"bachon wali batein na kar, bc, imran ne kaha woh corrupt hai, toh kya woh corrupt ho gaye, proof kya hai, sun lo in ki batein, imf ke saath agreement us ne kya aur batein dusron ko batate hain, nikal do puttar toh."
"is paas mein woh pic juicer ki ko aa rahe hain, yeh toh chai ki kettle hai hina."
"lanati log, tamasha bana rakha tum logon ne pakistan ka, sharam karo."
"qadre sahab gaya chahain toh koi nahi rok sakta, ka jawab qatil, bilkul sahi hai."
"copy kar rahe hain, kitne paise mile inko, yeh bhi poochho."
"kya baat hai, kamaal kar diya aap ne."
"ab sirf rs 1949 mahana per hasil karo woh bhi warranty ke saath, qatil, yeh toh kamaal hai."
"hussain haqani, kutte teri pe lanat ho, tumne desh ka naam badnaam kiya."
"haha, abbottabad wala sab samajhta hai"
"Janab, Hashir ko class ke baad batana mumkin nahi ho paya."
"Sheeshe jeetne ke liye, pehle apna qad to bana lo."
"Kitna dard lekar aayi hai ye line, dil ko chhoo gayi."
"Aik ho jao yaar, mere Pakistani doston, mil kar raho."
"Yeh jo is larki ki smile hai, 1:14 seconds pe, is smile ki wajah se yeh song subah se 20 baar dekh chuka hun, kyunki meri wife aisi hi lagti hai haste hue."
"Very good, kaash hamare mulk mein aisa hota ki ek joota bhi chori hone par chor ko pakar kar saza di jati, to sara nizam theek ho jata."
"Fittay moun tum sab ka, tumhari shakal pe lanat hai."
"Bhai, yeh mera favourite song hai, aur Rahat Fateh Ali Khan mera favourite singer hai."
"Allah karein yeh aap ka kaam kamyab ho jaye, qatil, dua hai."
"Hidayat ki dua kijiye aur roye aise logon par, TV mein dikhane se kuch nahi hoga, agar aap rone ki taqat rakhte hain to roiye, warna dil mein bura jaanein, lekin uske gunahon ko kisi par ujagar mat kariye, yeh Allah aur bande ka maamla hai, bas uske liye astaghfar kariye, aur meri baaton ka bura laga ho to mujhe bhi maaf kijiye."
"To chhaya para hai, qatil, ab kya karein?"
Qatil Shahbaz Sharif ko party ki qiyadat sounpne ke faisle se pata chalta hai Muslim League ko Sharif naam ki kashish pe kitna yaqeen tha ki is bebasi ki alam mein bhi inhain apni qiyadat ke liye koi aur naam munasib maloom na hua.
"Qatil, kyunki woh zyada time qabile nahi raha tha, so usne apna alps nahi tha."
"Qatil, super star Javed Miandad ki qiyadat se khush nahi thay."
"Nail polish na bhi laga ki jati, toba hai, waisay bhi."
"Itne zyada ads ko dete hain yeh log, kya hai yeh?"
"Last walay scene konsi film ka hai, name please, bata do."
"In se qatil poochha, qatil jayega ya qatil paisay, qatil kaise, qatil masjid mein dete hain, yeh kaise, qatil gareeb ko dete hain, to sari zindagi inko dua qatil milti."
"Bohat hi ghateya mobile hai, agar zero se kam rating hoti to mein woh deta."
"Yeh besharam log hain, Nawaz Sharif ka muqabla Imran Khan ki family se nahi hai."
"Ek nau ka harami hai yeh, isko koi nahi rok sakta."
"Bewaqoof tareen jahil log, inko koi samajh nahi hai."
"Nishaniyon ka pani metha ho jana, na zyada sardi, khula huwa shuaa ki tulu ho, qatil."
"Bhai trophy apni hai, yeh to ab mazak hi lag raha hai, 3 saal ho gaye Qalandars last hi hotay hain."
"Namaz khuda ke kareeb karti hai, isliye parhni chahiye."
"Pehle isne kaha tha Imran Khan is system ki akhri mora hai, iske baad naya islami nizam ayega."
"He wrote, koi roti, koi kapra, Allah da na da."
"Tum log zimmedar ho, iska jawab dena hoga."
"Aur tum 4 ikaiyon ko dahaiyon se loot rahay ho, yeh galat hai."
"Gand, apni nahi dekhta aur aurat ki baat karta hai."
"Are yeh muslim nahi, sab fake aydi, gande post karti hain yeh log."
"Is shadi nahi, betaap shadi word se obsessed hain, sirf shadi ka naam sun kar serious ho rahi hain, kuch arsay se, I am noticing."
"Sahi mein, mujhe block kiya gaya, yeh galat hai."
"Ab itne ajeeb thay dikhne mein, kya kehna hai."
"Hazrat ji, Allah aap"
"Yeh cheez hai, mere dost, best revenge is always to improve yourself."
"Kitna bhi baar sun lo, yeh song maan hi nahi karta, qatil, nice for you."
"I really love this art, it's very beautiful and inspiring."
Proud kyun na hon jab koi India mein reh kar kisi aur ki tareef kare?
"Allah Pak qibla ki ilm mein, izzat mein, aur umar mein barkat farmaye."
"Haha, achi tarah dhyan dena, yeh bahut important hai."
"Afsos, Pakistan YouTube ki kamai pe chalta hai, vlog aur reaction video banake."
"Chummi, usko jo ro raha hai, dukh mein hai, usko samjho."
"Fittay moo, mota peer, khandani culture, my foot, isko itni tameez nahi ki, aik toh ghateya harkatein, iske oopar se kaise entitlement ki baat kar raha hai, itni taufeeq nahi ki bol de logon ki humdardi mein gaya tha."
"Shehbaz Shareef chor, yeh toh sabko pata hai, chor hai woh."
"Sharam kar le, bho.shree ki, yeh toh bahut galat baat hai."
"Yaar, sahi mein bohat pyara song hai, love from India, dil ko chhoo gaya."
"Lekin is tarah ki waqiyat se Nisar Bazmi aur Noor Jehan mein badzani paida ho gayi, phir duniya ne yeh bhi dekha ki Noor Jehan ne sazindon se Bazmi sahab ke liye kaam ka boycott karwa diya."
"Abe, bas kar de, chotye, ab aur nahi sunna jaata."
"Mein toh kaam nahi karunga, kandhi qatil, ahe toh tujhe haal hai."
"Allah hai na, tntn nahi lene, duniya mein tum logo ko mauka mil raha hai na, jo marzi kar lo, qayamat toh aik din lagni hai, us din sirf aik Allah badshah hoga jo hamesha rehne wala hai, duniya mein tumhe mauka mil raha hai, wahan mauka nahi milega, is liye tntn nahi kisi bhi cheez ki, Allah hai na hamare paas."
"In mein se beshtar box office pe kamyab rahe hain, yeh toh achi baat hai."
"Chupa lo ab, yeh sab dekh kar sharam aati hai."
"Wa wa wa wa, kya kamaal kar diye, dil khush ho gaya."
"Allah sab musalmano ko hidayat de, sabko nek rasta dikhaye."
"Ana Molka Ahmed ne taqreeban nisf sadi tak fan e musawiri ki khidmat ki, yeh toh bohat badi baat hai."
"Aap pe yeh look acha nahi lag raha, kuch toh badlo."
"Akeli hun, message karo, baat karne ka dil hai."
"Yeh PMLN ka page hai, mujhe toh nahi lagta."
"Chand tara aa raha hai, Pakistani drama dekh bhai, bahut acha hai, mast hai, comedy hai, enjoy karo."
"Pura mulk hamara loot liye Nawaz aur Zardari mafia ne, bechare Khan Sahab road banwane ke liye paise kahan se late, apne hi gifts sell kar ke road bana dali, gifts rakh ke achaar dalna hai?"
"Kya scene hai laundon, aaj kal kya chal raha hai?"
"Aaj kal yeh sab nahi hota hai, samjhi, yeh toh galat hai."
"Maza aa gaya, ah, dil khush ho gaya."
"Mein disagree karti hun, is episode ki 7 jo larkiyan ba izzat tariqe se kama rahi hain, unko ghalat rasta dikhaya ja raha hai aur lalach diye ja raha hai ki chand paise zyada milenge aur ba izzat profession chhor do, agar yeh dancer se teacher banti, tab yeh inspiration bhi ban sakti thi, Pakistan kahan ja raha hai, kis cheez ko promote kar raha hai?"
"Jahil log, inko toh kuch pata hi nahi hai."
"Yrr, bekar kar diya draame ko, ab toh dekhne ka dil nahi karta."
"Lakh di lanat, lafafa lady, yeh toh bohat galat hai."
Asia kaun hai jo
"Ji, jab hum log bhi study karta thay, hamay bhi yahi sikhaya gaya tha, lekin Pakistan mein hum log suni sunai baton ko zehen mein daal lete hain, had se zyada research nahi karte."
"Zaleel hue ho na, jaane kis kis ke haathon, kaash ki yeh lamha bhi hota haath mere, samait lete phir se tera gunahon ka tokra, kya karun ab to ruswa-e-ishq hua hai, na jaane humay paon tale masal kar kis manzil ki talaash mein baithe ho."
"Your and your smile, both are very beautiful."
"Wahi na, and queen loves her the most, saaray paisay queen ke hain, qatil."
"Acha, yeh Hareem Shah hai?"
"Once a khoti ka bacha is always a khoti ka bacha, lair."
"Kamal hai, oh tussi!"
"Koi message karo please, mujhe baat karni hai."
"Bohat sohna song hai, dil ko chhoo gaya."
"Lanat hai, Showbaz!"
"Haan, ustad hun, aram se hun."
"Qatil, Pakistan mein agarchey aisi shakhsiyat aisi utaar charhao se mutassir hoti rehti hain, lekin Peer Pagara ki aisi asraat ko kabhi zawal nahi aaya."
"Song kis kis ko pasand aaya, like karo jaldi se."
Hamari India mein aisa serial ban hi nahi sakta.
"Matlab, gays walay neeche baith kar kaam nahi kar saktay, aisa lagta hai jaise makad bahar aa jayegi."
Kitne dard liye aayi hai hum teri chokhat se.
"Ab hum karne lag paray hain, dekhte hain kya hota hai."
"MashaAllah, JazakAllah, Allah aapko khush rakhay."
"Sir, qatil, aapki song sun kar aram aa jata hai, really."
"MashaAllah, Allah lambi zindagi day in ko aur sehat tandurusti day, Ameen, he is a great and true scholar."
"Allah pak reham farma, sab par reham farma."
"Apply kar do, jaldi se apply kar do."
"Khabees, baz aa ja, chup kar ja."
"Inna Lillahi Wa Inna Ilayhi Raji'un, hum Allah ki taraf se hain aur usi ki taraf laut kar jana hai."
"Allah tala jald se jald behan se apna bhai mila day, Ameen, Summa Ameen."
"Socrates ne zeher ka pyala piya tha, aap woh pee lo, Coca-Cola nahi mil rahi toh kaisa idea hai?"
Turkey drama Fariha se milta julta hai yeh.
Saath saath chalne walay rahay kyun bhatakte hain?
"Mama, aap bohat pyare ho, dil karta hai aap se baat karun."
"Kaun ki young generation aapko fully support karegi, qatil?"
Muashi abtari ka yeh dor qatil kayi saal tak jari raha.
"Mein toh nahi dekhti, na meri family, fazool hai yeh sab."
"Mujhay kya pata, dost nahi banatay itnay zyada tumhari tarah."
"Imran Khan ki bari jab raat ko 12 bajay court khuli thi, tab toh aap bohat khush hue thay aur ab apni bari cheekhen kyun nikal rahe hain?"
"Next season episode kab ayega, jaldi batao."
"Anaya ki look aur chalne ki style mast hai, zabardast hai."
"Yeh banda kyun horn porn baja raha hai, sharam nahi aati?"
"Rab di aahat ho rahi hai dil ch, bohat acha lag raha hai."
Yeh aurat hai hi batameez aur achi nahi lag rahi.
"Acha phone hai, battery bhi achi hai, look zabardast hai, kya kehna hai."
"Aap ki poetry bohat achi hai, dil ko chhoo jati hai."
"Umeed bhi usi se hai ab bas, Allah par bharosa hai."
"Khotay, apna ilaaj bhi karwa le, sharam karo."
Kuttay ki
"fake hai mere bhai, hum ne khud bheja hai udhar saman."
waile log awami paisay ko barbad kar rahay hain.
"agree bro, yeh log nahi samajh sakte, inko samajhna mushkil hai."
"mujhe bohat bohat achi lagi, dil ko choo gayi yeh baat."
"rates nahi barhain, tanhwahain aur pension kam karaein, mehengai khud ba khud kam hogi. qatil, koi bhi chahe judge ho ya general, koi 2 lakh se zyada tankhwa nahi le ga. is tarah koi bhi 140 rupees se zyada pension nahi le ga. yaqeen karo, kp mein har clerk aur stenographer ke paas apni car hai."
"dil ko choo lene wala qatil song hai, bohat acha hai."
"done, thanks urdu safha ke admin for sahi initiative."
"meri aur ahlo ayal ki liye dua karein, allah hum sab ko khush rakhe."
"yrr kya drama hai, maza aa gaya, allah great love qatil story."
arre tumhari behan ki yeh uhh uhh uhh ki music ke bina shayari upload nahi hoti kya?
